MMK,Мурманск,Мурманск,32.750822,68.781672,Europe/Moscow
BAX,Барнаул,Барнаул,83.538533,53.363775,Asia/Krasnoyarsk
UUD,Байкал,Улан-Удэ,107.437644,51.807764,Asia/Irkutsk
BQS,Игнатьево,Благовещенск,127.412478,50.425394,Asia/Yakutsk
HTA,Чита,Чита,113.305556,52.026317,Asia/Chita
AAQ,Витязево,Анапа,37.347272,45.002097,Europe/Moscow
STW,Ставрополь,Ставрополь,42.112778,45.109165,Europe/Moscow
MRV,Минеральные Воды,Минеральные Воды,43.081889,44.225072,Europe/Moscow
UIK,Усть-Илимск,Усть-Илимск,102.566,58.135,Asia/Irkutsk
URJ,Петрозаводск,Урай,64.83,60.1,Asia/Yekaterinburg
SCW,Сыктывкар,Сыктывкар,50.84505,61.64705,Europe/Moscow
SVO,Шереметьево,Москва,37.414589,55.972642,Europe/Moscow
USK,Усинск,Усинск,57.221113,66.00077,Europe/Moscow
IWA,Иваново-Южный,Иваново,40.940833,56.939444,Europe/Moscow
ASF,Астрахань,Астрахань,48.006278,46.283333,Europe/Samara
KUF,Курумоч,Самара,50.15,53.5,Europe/Samara
NJC,Нижневартовск,Нижневартовск,76.483617,60.949272,Asia/Yekaterinburg
VOZ,Воронеж,Воронеж,39.229589,51.814211,Europe/Moscow
SVX,Кольцово,Екатеринбург,60.802728,56.743108,Asia/Yekaterinburg
VKO,Внуково,Москва,37.261486,55.591531,Europe/Moscow
KZN,Казань,Казань,49.278728,55.606186,Europe/Moscow
UFA,Уфа,Уфа,55.874417,54.557511,Asia/Yekaterinburg
OVB,Толмачёво,Новосибирск,82.650656,55.012622,Asia/Novosibirsk
KRR,Краснодар,Краснодар,39.170539,45.034689,Europe/Moscow
CEE,Череповец,Череповец,38.0158,59.2736,Europe/Moscow
MCX,Уйташ,Махачкала,47.652294,42.816822,Europe/Moscow
REN,Оренбург-Центральный,Оренбург,55.456744,51.795786,Asia/Yekaterinburg
ARH,Талаги,Архангельск,40.430167,64.360281,Europe/Moscow
RTW,Саратов-Центральный,Саратов,46.022952,51.334366,Europe/Volgograd
KYZ,Кызыл,Кызыл,94.4006,51.6694,Asia/Krasnoyarsk
AER,Сочи,Сочи,39.956589,43.449928,Europe/Moscow
GRV,Грозный,Грозный,45.7841,43.2981,Europe/Moscow
OMS,Омск-Центральный,Омск,73.310514,54.967042,Asia/Omsk
CEK,Челябинск,Челябинск,61.503333,55.305836,Asia/Yekaterinburg
UCT,Ухта,Ухта,53.482592,63.340297,Europe/Moscow
DME,Домодедово,Москва,37.906111,55.408611,Europe/Moscow
MQF,Магнитогорск,Магнитогорск,58.755661,53.393131,Asia/Yekaterinburg
BZK,Брянск,Брянск,34.176447,53.214194,Europe/Moscow
KGP,Когалым,Когалым,74.53,62.18,Asia/Yekaterinburg
DYR,Анадырь,Анадырь,177.741483,64.73495,Asia/Anadyr
PYJ,Полярный,Удачный,112.030325,66.400431,Asia/Yakutsk
KXK,Хурба,Комсомольск-на-Амуре,136.934,50.4094,Asia/Vladivostok
ROV,Ростов-на-Дону,Ростов-на-Дону,39.818089,47.258208,Europe/Moscow
GOJ,Стригино,Нижний Новгород,43.784042,56.230119,Europe/Moscow
VOG,Гумрак,Волгоград,44.345544,48.782528,Europe/Volgograd
ULY,Ульяновск-Восточный,Ульяновск,48.8027,54.401,Europe/Samara
KVX,Победилово,Киров,49.3483,58.5033,Europe/Moscow
KRO,Курган,Курган,65.4156,55.4753,Asia/Yekaterinburg
EGO,Белгород,Белгород,36.5901,50.6438,Europe/Moscow
LPK,Липецк,Липецк,39.5378,52.7028,Europe/Moscow
JOK,Йошкар-Ола,Йошкар-Ола,47.9047,56.7006,Europe/Moscow
OSW,Орск,Орск,58.5956,51.0725,Asia/Yekaterinburg
PEZ,Пенза,Пенза,45.0211,53.1106,Europe/Moscow
IAR,Туношна,Ярославль,40.157369454444,57.560666676667,Europe/Moscow
UUA,Бугульма,Бугульма,52.8017,54.64,Europe/Moscow
KLF,Калуга,Калуга,36.367,54.55,Europe/Moscow
ULV,Баратаевка,Ульяновск,48.2267,54.268299,Europe/Samara
ESL,Элиста,Элиста,44.3309,46.3739,Europe/Moscow
PES,Бесовец,Петрозаводск,34.1547,61.8852,Europe/Moscow
TOF,Богашёво,Томск,85.208333,56.380278,Asia/Krasnoyarsk
SGC,Сургут,Сургут,73.401842,61.343694,Asia/Yekaterinburg
NNM,Нарьян-Мар,Нарьян-Мар,53.051016,67.380537,Europe/Moscow
NSK,Норильск,Норильск,87.332183,69.311053,Asia/Krasnoyarsk
TJM,Рощино,Тюмень,65.3243,57.189567,Asia/Yekaterinburg
NUX,Новый Уренгой,Новый Уренгой,76.313938,66.041811,Asia/Yekaterinburg
NOJ,Ноябрьск,Ноябрьск,75.162243,63.110079,Asia/Yekaterinburg
PKV,Псков,Псков,28.395614,57.783917,Europe/Moscow
